rating,book_title,book_author,year_of_publication,publisher,Category
0,The Corrections: A Novel,Jonathan Franzen,2002.0,Picador USA,fiction
0,Where the Red Fern Grows,Wilson Rawls,1984.0,Random House Children's Books,juvenile fiction
2,The Celestine Prophecy (Celestine Prophecy),James Redfield,1994.0,Warner Books,fiction
0,When the Wind Blows,James Patterson,1999.0,Warner Vision,fiction
4,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
8,Clear and Present Danger (Jack Ryan Novels),Tom Clancy,1996.0,Berkley Publishing Group,intelligence service
0,Without Remorse,Tom Clancy,2004.0,Berkley Publishing Group,fiction
10,Timeline,MICHAEL CRICHTON,2000.0,Ballantine Books,fiction
9,Empire Falls,Richard Russo,2002.0,Vintage Books USA,fiction
5,The Devil's Teardrop,Jeffery Deaver,2000.0,Pocket,fiction
0,The Face of Deception,Iris Johansen,1999.0,Bantam Books,fiction
0,Tis : A Memoir,Frank McCourt,1999.0,Scribner,biography & autobiography
0,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999.0,Arthur A. Levine Books,juvenile fiction
0,Jewel,Bret Lott,1999.0,Washington Square Press,fiction
10,Interview with the Vampire,Anne Rice,1993.0,Ballantine Books,fiction
0,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990.0,Anchor,middle west
9,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002.0,Owl Books,business & economics
0,Portrait in Death,Nora Roberts,2003.0,Berkley Publishing Group,fiction
0,A Prayer for Owen Meany,John Irving,1990.0,Ballantine Books,fiction
1,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002.0,Regan Books,political science
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
0,Good in Bed,Jennifer Weiner,2002.0,Washington Square Press,fiction
8,Good in Bed,Jennifer Weiner,2002.0,Washington Square Press,fiction
10,The Da Vinci Code,Dan Brown,2003.0,Doubleday,fiction
6,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986.0,Ballantine Books,horror tales
9,Acceptable Risk,Robin Cook,1996.0,Berkley Publishing Group,fiction
10,How Stella Got Her Groove Back,Terry McMillan,1997.0,Signet Book,fiction
0,"Whirlwind (Tyler, Book 1)",Nancy Martin,1992.0,Harlequin,fiction
0,Under the Tuscan Sun,Frances Mayes,1997.0,Broadway,travel
0,Airframe,Michael Crichton,1996.0,Alfred A. Knopf,fiction
0,"Girl, Interrupted",SUSANNA KAYSEN,1994.0,Vintage,biography & autobiography
0,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989.0,Berkley Publishing Group,fiction
5,Winter Solstice,Rosamunde Pilcher,2000.0,Thomas Dunne Books,fiction
0,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992.0,Ballantine Books,fiction
8,Watership Down,Richard Adams,1976.0,Avon,fiction
0,"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,2000.0,Perennial,fiction
9,A Painted House,John Grisham,2001.0,Dell Publishing Company,fiction
10,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999.0,Three Rivers Press,family & relationships
10,Bridget Jones's Diary,Helen Fielding,1998.0,Viking Books,fiction
0,The Loop,Nicholas Evans,1999.0,Dell Publishing Company,fiction
0,Manhattan Hunt Club,JOHN SAUL,2002.0,Ballantine Books,fiction
0,Digital Fortress : A Thriller,Dan Brown,2000.0,St. Martin's Griffin,fiction
0,In Her Shoes : A Novel,Jennifer Weiner,2003.0,Washington Square Press,fiction
0,Congo,Michael Crichton,1995.0,Ballantine Books,fiction
0,Red Storm Rising,Tom Clancy,1997.0,Berkley Publishing Group,fiction
0,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987.0,Bantam,fiction
5,The Genesis Code,John Case,1998.0,Ballantine Books,fiction
0,Interview with the Vampire,Anne Rice,1993.0,Ballantine Books,fiction
9,Thinner,Stephen King,1985.0,New Amer Library,fiction
6,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000.0,Penguin Books,biography & autobiography
0,The Cider House Rules,John Irving,1994.0,Ballantine Books,fiction
0,Suzanne's Diary for Nicholas,James Patterson,2003.0,Warner Books,fiction
9,The Hunt for Red October,Tom Clancy,1985.0,Berkley Publishing Group,fiction
0,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998.0,Scholastic,juvenile fiction
0,Hemlock Bay,Catherine Coulter,2002.0,Jove Books,fiction
0,The Nanny Diaries: A Novel,Emma McLaughlin,2002.0,St. Martin's Press,fiction
8,The Summons,John Grisham,2002.0,Dell Publishing Company,fiction
0,Mystic River,Dennis Lehane,2002.0,HarperTorch,fiction
9,Two for the Dough,Janet Evanovich,1996.0,Pocket,fiction
8,Waiting (Vintage International),Ha Jin,2000.0,Vintage Books USA,fiction
7,The Perks of Being a Wallflower,Stephen Chbosky,1999.0,MTV,fiction
0,Snow Falling on Cedars,David Guterson,1995.0,Vintage Books USA,fiction
0,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books,fiction
9,Sick Puppy,Carl Hiaasen,2001.0,Warner Vision,fiction
0,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown & Company,fiction
0,Beach Music,Pat Conroy,1996.0,Bantam Books,fiction
0,White Oleander : A Novel,Janet Fitch,2001.0,"Little, Brown",fiction
0,While I Was Gone,Sue Miller,1999.0,Ballantine Books,fiction
0,The Samurai's Garden : A Novel,Gail Tsukiyama,1996.0,St. Martin's Griffin,fiction
8,Hemlock Bay,Catherine Coulter,2002.0,Jove Books,fiction
0,Memoirs of a Geisha,Arthur Golden,1997.0,Alfred A. Knopf,fiction
9,Bridget Jones's Diary,Helen Fielding,1999.0,Penguin Books,fiction
0,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998.0,Putnam Pub Group (Paper),business & economics
10,The Poisonwood Bible,Barbara Kingsolver,1999.0,HarperCollins,fiction
0,Sleep No More,Greg Iles,2003.0,Signet Book,fiction
0,The Door to December,Dean R. Koontz,1994.0,Signet Book,fiction
0,Black House,Stephen King,2002.0,Ballantine Books,fiction
0,A Walk to Remember,Nicholas Sparks,2000.0,Warner Books,fiction
0,The Brethren,John Grisham,2000.0,Island,fiction
0,CAT'S EYE,MARGARET ATWOOD,1989.0,Bantam,fiction
7,The Murder Book,Jonathan Kellerman,2003.0,Ballantine Books,fiction
0,Siddhartha,Hermann Hesse,1981.0,Bantam Classics,fiction
10,The Color Purple,Alice Walker,1990.0,Pocket,fiction
6,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002.0,HarperTorch,fiction
0,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000.0,Penguin Books,biography & autobiography
10,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999.0,HarperCollins,juvenile fiction
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
9,The Princess Diaries,Meg Cabot,2001.0,HarperTrophy,juvenile fiction
8,Message in a Bottle,Nicholas Sparks,1998.0,Warner Books,fiction
0,Midnight in the Garden of Good and Evil,John Berendt,1999.0,Vintage Books USA,history
7,The Last Juror,John Grisham,2004.0,Doubleday,fiction
0,Snow Falling on Cedars,David Guterson,1995.0,Vintage Books USA,fiction
0,Silent Witness,RICHARD NORTH PATTERSON,1997.0,Ballantine Books,fiction
8,Sleepers,Lorenzo Carcaterra,1996.0,Ballantine Books,biography & autobiography
0,Relic,Douglas Preston,2003.0,Tor Books,fiction
0,Girl with a Pearl Earring,Tracy Chevalier,2001.0,Plume Books,fiction
8,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown & Company,fiction
0,L Is for Lawless,Sue Grafton,1996.0,Fawcett Books,fiction
0,The Face of Deception,Iris Johansen,1999.0,Bantam Books,fiction
9,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002.0,Anchor,fiction
0,The Prince of Tides,Pat Conroy,1987.0,Bantam Books,fiction
0,Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999.0,Ballantine Books,fiction
0,The Horse Whisperer,Nicholas Evans,1996.0,Dell,fiction
5,Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,1993.0,Bantam,fiction
0,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996.0,Penguin Books,fiction
5,Black Friday,James Patterson,1989.0,Warner Vision,fiction
0,The Da Vinci Code,Dan Brown,2003.0,Doubleday,fiction
0,Cry to Heaven,Anne Rice,1995.0,Ballantine Books,fiction
10,Alias Grace : A Novel,Margaret Atwood,1997.0,Anchor,fiction
3,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003.0,Anchor,fiction
0,The Indian in the Cupboard,Lynne Reid Banks,1999.0,HarperTrophy,juvenile fiction
0,Cry Wolf,TAMI HOAG,1993.0,Bantam,fiction
0,The Laws of Our Fathers,Scott Turow,1997.0,Warner Books,fiction
0,The Bridges of Madison County,Robert James Waller,1992.0,Warner Books,fiction
7,Confessions of a Shopaholic,SOPHIE KINSELLA,2003.0,Dell,fiction
0,Firefly Summer,Maeve Binchy,1989.0,Dell,fiction
0,Memoirs of a Geisha Uk,Arthur Golden,1994.0,Trafalgar Square,geishas
7,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001.0,Broadway Books,fiction
10,The Mists of Avalon,MARION ZIMMER BRADLEY,1987.0,Del Rey,fiction
5,The Horse Whisperer,Nicholas Evans,1996.0,Dell,fiction
0,Eyes of a Child,Richard North Patterson,1996.0,Ballantine Books,fiction
0,A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash,Sylvia Nasar,2001.0,Simon & Schuster,biography & autobiography
5,"Redwall (Redwall, Book 1)",Brian Jacques,1998.0,Ace Books,juvenile fiction
0,One Door Away from Heaven,Dean R. Koontz,2002.0,Bantam Books,fiction
5,Moonlight Becomes You,Mary Higgins Clark,1997.0,Pocket,fiction
0,The Nanny Diaries: A Novel,Emma McLaughlin,2002.0,St. Martin's Press,fiction
10,Gone But Not Forgotten,PHILLIP M. MARGOLIN,1994.0,Bantam,fiction
10,Rules of Prey,John Sandford,1992.0,Berkley Publishing Group,fiction
0,"Loves Music, Loves to Dance",Mary Higgins Clark,1992.0,Pocket,fiction
0,The King of Torts,JOHN GRISHAM,2003.0,Dell,fiction
0,Girl with a Pearl Earring,Tracy Chevalier,2001.0,Plume Books,fiction
0,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996.0,Penguin Books,fiction
5,Point of Origin,Patricia Daniels Cornwell,1998.0,Putnam Pub Group,fiction
4,Bleachers,John Grisham,2003.0,Doubleday,fiction
0,The Return Journey,MAEVE BINCHY,1999.0,Dell,fiction
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
8,Girl with a Pearl Earring,Tracy Chevalier,2001.0,Plume Books,fiction
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
0,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987.0,Bantam,fiction
0,Song of Solomon (Oprah's Book Club (Paperback)),Toni Morrison,1987.0,Plume Books,fiction
7,The Tommyknockers,Stephen King,1994.0,Signet Book,fiction
0,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001.0,Berkley Publishing Group,fiction
0,Lord of the Flies,William Gerald Golding,1959.0,Perigee Trade,fiction
0,Open Season,Linda Howard,2002.0,Pocket,fiction
8,Bee Season: A Novel,Myla Goldberg,2001.0,Anchor Books/Doubleday,fiction
8,Certain Prey,John Sandford,2000.0,Berkley Publishing Group,fiction
0,Sphere,MICHAEL CRICHTON,1988.0,Ballantine Books,fiction
0,Hannibal,Thomas Harris,2000.0,Dell Publishing Company,fiction
0,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002.0,Touchstone,fiction
0,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996.0,Penguin Books,fiction
10,Watership Down,Richard Adams,1976.0,Avon,fiction
0,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992.0,Ballantine Books,fiction
7,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987.0,Bantam,fiction
0,American Gods,Neil Gaiman,2002.0,HarperTorch,fiction
0,SHIPPING NEWS,Annie Proulx,1994.0,Scribner,fiction
0,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989.0,Perennial,fiction
10,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995.0,Bantam,fiction
0,Fast Women,Jennifer Crusie,2002.0,St. Martin's Press,fiction
0,The Sum of All Fears (Jack Ryan Novels),Tom Clancy,1996.0,Berkley Publishing Group,intelligence service
8,A Painted House,John Grisham,2001.0,Dell Publishing Company,fiction
8,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996.0,Penguin Books,fiction
10,The Red Tent (Bestselling Backlist),Anita Diamant,1998.0,Picador USA,fiction
0,The Lost World,Michael Crichton,1996.0,Ballantine Books,fiction
0,Night Prey,John Sandford,2004.0,Berkley Publishing Group,fiction
9,The Brethren,John Grisham,2000.0,Island,fiction
0,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002.0,Jove Books,fiction
0,1984,George Orwell,1990.0,Signet Book,london (england)
0,Bridget Jones : The Edge of Reason,Helen Fielding,2000.0,Viking Books,fiction
0,The Secret Life of Bees,Sue Monk Kidd,2003.0,Penguin Books,fiction
9,Cold Mountain : A Novel,CHARLES FRAZIER,1998.0,Vintage,fiction
0,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998.0,Perennial,fiction
7,A Civil Action,JONATHAN HARR,1996.0,Vintage,law
0,Where or When  : A Novel,Anita Shreve,1999.0,Harvest Books,fiction
8,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001.0,Broadway Books,fiction
0,Interview with the Vampire,Anne Rice,1993.0,Ballantine Books,fiction
7,The Hot Zone,Richard Preston,1995.0,Anchor,medical
0,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999.0,Scholastic,juvenile fiction
7,Skinwalkers (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990.0,HarperTorch,fiction
9,How to Be Good,Nick Hornby,2002.0,Riverhead Books,fiction
7,Interview with the Vampire,Anne Rice,1993.0,Ballantine Books,fiction
0,Contact,Carl Sagan,1997.0,Pocket,fiction
7,Fahrenheit 451,RAY BRADBURY,1987.0,Del Rey,fiction
0,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001.0,HarperTempest,juvenile fiction
2,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999.0,Arthur A. Levine Books,juvenile fiction
0,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001.0,Broadway Books,fiction
9,A Confederacy of Dunces (Evergreen Book),John Kennedy Toole,1987.0,Grove Press,fiction
7,The Testament,John Grisham,1999.0,Dell,fiction
10,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999.0,Arthur A. Levine Books,juvenile fiction
0,Silent Prey,John Sandford,2000.0,Berkley Publishing Group,fiction
0,Choke,CHUCK PALAHNIUK,2002.0,Anchor,fiction
0,The Last Juror,John Grisham,2004.0,Doubleday,fiction
9,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003.0,Random House Trade Paperbacks,biography & autobiography
5,Hideaway,Dean R. Koontz,1992.0,Berkley Publishing Group,fiction
0,The Killing Game: Only One Can Win...and the Loser Dies,Iris Johansen,2000.0,Bantam Books,fiction
0,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993.0,Ballantine Books,fiction
8,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993.0,Ballantine Books,fiction
9,The King of Torts,JOHN GRISHAM,2003.0,Dell,fiction
0,You Belong To Me,Mary Higgins Clark,1999.0,Pocket Books,fiction
0,The Eyre Affair: A Novel,Jasper Fforde,2003.0,Penguin Books,fiction
0,Flesh and Blood,Jonathan Kellerman,2002.0,Ballantine Books,fiction
9,The Honk and Holler Opening Soon,Billie Letts,1999.0,Warner Books,fiction
0,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000.0,Penguin Books,fiction
0,"Girl, Interrupted",SUSANNA KAYSEN,1994.0,Vintage,biography & autobiography
0,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999.0,Scholastic,juvenile fiction
0,Feast of All Saints,Anne Rice,1986.0,Ballantine Books,fiction
0,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996.0,Berkley Publishing Group,fiction
0,Circle of Friends,Maeve Binchy,1991.0,Dell,fiction
8,Last Man Standing,David Baldacci,2002.0,Warner Vision,fiction
5,Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000.0,Dell,fiction
0,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995.0,HarperSanFrancisco,fiction
0,Everything's Eventual : 14 Dark Tales,Stephen King,2002.0,Pocket,fiction
0,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996.0,Tyndale House Publishers,rapture (christian eschatology)
10,Intensity,DEAN KOONTZ,1996.0,Ballantine Books,fiction
2,Angela's Ashes: A Memoir,Frank McCourt,1999.0,Scribner,biography & autobiography
10,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997.0,Amber-Allen Publishing,self-help
0,The Da Vinci Code,Dan Brown,2003.0,Doubleday,fiction
0,The House of the Spirits,Isabel Allende,1986.0,Bantam Books,fiction
9,Little Altars Everywhere: A Novel,Rebecca Wells,1996.0,Perennial,fiction
0,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002.0,Anchor,fiction
10,A Prayer for Owen Meany,John Irving,1990.0,Ballantine Books,fiction
10,The House of the Spirits,Isabel Allende,1986.0,Bantam Books,fiction
0,Fortune's Rocks: A Novel,Anita Shreve,1999.0,Back Bay Books,fiction
6,Island of the Blue Dolphins,SCOTT O'DELL,1971.0,Random House Children's Books,juvenile fiction
0,We Were the Mulvaneys,Joyce Carol Oates,1996.0,Plume,fiction
7,Black Notice,Patricia Daniels Cornwell,2000.0,Berkley Publishing Group,fiction
0,Secrets,DANIELLE STEEL,1986.0,Dell,fiction
0,Gorky Park,Martin Cruz Smith,1993.0,Ballantine Books,fiction
8,Rising Sun,MICHAEL CRICHTON,1992.0,Ballantine Books,fiction
0,Zoya,Danielle Steel,1989.0,Dell,fiction
0,Secret Prey,John Sandford,2003.0,Berkley Publishing Group,fiction
0,The Handmaid's Tale,Margaret Atwood,1989.0,Fawcett Books,british and irish fiction (fictional works by one author).
0,Sacred Sins,Nora Roberts,1990.0,Bantam Books,fiction
8,Sole Survivor,DEAN KOONTZ,1997.0,Ballantine Books,aircraft accidents
10,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993.0,Bantam,biography & autobiography
0,Snow Falling on Cedars,David Guterson,1995.0,Vintage Books USA,fiction
0,Here on Earth,Alice Hoffman,1998.0,Berkley Publishing Group,fiction
0,N Is for Noose,Sue Grafton,1999.0,Fawcett Books,fiction
0,The Reader,Bernhard Schlink,1999.0,Vintage Books USA,fiction
0,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002.0,Bantam Books,fiction
8,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997.0,Doubleday,biography & autobiography
5,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003.0,St. Martin's Paperbacks,fiction
4,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books,history
5,The Robber Bride,Margaret Atwood,1995.0,Bantam,fiction
0,Bee Season: A Novel,Myla Goldberg,2001.0,Anchor Books/Doubleday,fiction
0,The Red Tent (Bestselling Backlist),Anita Diamant,1998.0,Picador USA,fiction
6,The Horse Whisperer,Nicholas Evans,1996.0,Dell,fiction
9,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986.0,Ballantine Books,horror tales
9,The Chamber,John Grisham,1995.0,Dell Publishing Company,fiction
0,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1993.0,Penguin Books,fiction
10,Acceptable Risk,Robin Cook,1996.0,Berkley Publishing Group,fiction
0,Restaurant At the End of the Universe,Douglas Adams,1994.0,Pan Books Ltd,"dent, arthur (fictitious character)"
9,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993.0,Bantam,biography & autobiography
0,Manhattan Hunt Club,JOHN SAUL,2002.0,Ballantine Books,fiction
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
0,Welcome to Temptation,Jennifer Crusie,2001.0,St. Martin's Paperbacks,fiction
8,The Door to December,Dean R. Koontz,2002.0,Signet Book,fiction
7,Silent Prey,John Sandford,2000.0,Berkley Publishing Group,fiction
0,"Whirlwind (Tyler, Book 1)",Nancy Martin,1992.0,Harlequin,fiction
0,Secret History,DONNA TARTT,1993.0,Ballantine Books,fiction
9,Interview with the Vampire,Anne Rice,1993.0,Ballantine Books,fiction
0,Hornet's Nest,Patricia Daniels Cornwell,1998.0,Berkley Publishing Group,fiction
0,"Girl, Interrupted",SUSANNA KAYSEN,1994.0,Vintage,biography & autobiography
10,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998.0,St. Martin's Paperbacks,fiction
0,Night Sins,TAMI HOAG,1995.0,Bantam,fiction
8,Space,James A. Michener,1988.0,Fawcett Books,fiction
0,Shopaholic Ties the Knot,Sophie Kinsella,2003.0,Delta,fiction
8,"A Game of Thrones (A Song of Ice and Fire, Book 1)",George R.R. Martin,1997.0,Spectra Books,fiction
8,A Walk to Remember,Nicholas Sparks,2000.0,Warner Books,fiction
0,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990.0,Bantam,fiction
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
9,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995.0,ACE Charter,fiction
0,The Phantom Tollbooth,Norton Juster,1993.0,Yearling Books,juvenile fiction
8,The Testament,John Grisham,1999.0,Doubleday Books,fiction
0,The Handmaid's Tale,Margaret Atwood,1989.0,Fawcett Books,british and irish fiction (fictional works by one author).
9,Southern Cross,Patricia Daniels Cornwell,1999.0,Berkley Publishing Group,fiction
0,Night Whispers,Judith McNaught,1999.0,Pocket,fiction
5,The Surgeon,TESS GERRITSEN,2002.0,Ballantine Books,fiction
0,Unnatural Exposure,Patricia Daniels Cornwell,1998.0,Berkley Publishing Group,fiction
10,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002.0,Owl Books,business & economics
6,Airframe,Michael Crichton,1997.0,Ballantine Books,fiction
8,The Servants of Twilight,Dean R. Koontz,1996.0,Berkley Publishing Group,fiction
9,Girl with a Pearl Earring,Tracy Chevalier,2001.0,Plume Books,fiction
8,Outbreak,Robin Cook,1991.0,Berkley Publishing Group,fiction
8,The King of Torts,JOHN GRISHAM,2003.0,Dell,fiction
0,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997.0,Vintage Books USA,african american men
0,Sacred Sins,Nora Roberts,1990.0,Bantam Books,fiction
0,The Last Precinct,Patricia Cornwell,2001.0,Berkley Publishing Group,fiction
10,Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches),Anne Rice,1995.0,Ballantine Books,fiction
6,Carolina Moon,Nora Roberts,2001.0,Jove Books,fiction
0,The Andromeda Strain,MICHAEL CRICHTON,1992.0,Ballantine Books,fiction
0,The Hunt for Red October,Tom Clancy,1990.0,Berkley Publishing Group,fiction
0,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998.0,Perennial,fiction
8,The Lost World,Michael Crichton,1996.0,Ballantine Books,fiction
10,Eleventh Hour: An FBI Thriller (FBI Thriller (Jove Paperback)),Catherine Coulter,2004.0,Jove Books,fiction
0,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000.0,Penguin Books,fiction
0,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993.0,Avon,fiction
0,Now You See Me,Tina Wainscott,2002.0,St. Martin's Paperbacks,fiction
0,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995.0,HarperSanFrancisco,fiction
0,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992.0,Ballantine Books,fiction
0,Alias Grace : A Novel,Margaret Atwood,1997.0,Anchor,fiction
7,Table For Two,Nora Roberts,2002.0,Silhouette,fiction
0,The Handmaid's Tale,Margaret Atwood,1989.0,Fawcett Books,british and irish fiction (fictional works by one author).
0,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998.0,Scholastic,juvenile fiction
9,The Da Vinci Code,Dan Brown,2003.0,Doubleday,fiction
0,Angela's Ashes: A Memoir,Frank McCourt,1999.0,Scribner,biography & autobiography
0,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books,fiction
0,The Last Precinct,Patricia Daniels Cornwell,2000.0,Putnam Publishing Group,materia medica
10,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999.0,Arthur A. Levine Books,juvenile fiction
0,Where or When  : A Novel,Anita Shreve,1999.0,Harvest Books,fiction
0,Wild Animus,Rich Shapero,2004.0,Too Far,fiction
0,How to Be Good,Nick Hornby,2002.0,Riverhead Books,fiction
10,Needful Things,Stephen King,2004.0,Signet Book,fiction
8,The Summons,John Grisham,2002.0,Doubleday Books,fiction
9,Bridget Jones's Diary,Helen Fielding,1997.0,Picador (UK),diary fiction
3,The Eyre Affair: A Novel,Jasper Fforde,2003.0,Penguin Books,fiction
9,Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches),Anne Rice,1995.0,Ballantine Books,fiction
0,Final Target,Iris Johansen,2002.0,Bantam Books,fiction
9,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997.0,Perennial,fiction
0,Point of Origin,Patricia Daniels Cornwell,1998.0,Putnam Pub Group,fiction
0,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002.0,Jove Books,fiction
8,Interview with the Vampire,Anne Rice,1993.0,Ballantine Books,fiction
0,Time And Again,Nora Roberts,2001.0,Silhouette,fiction
0,Weep No More My Lady,Mary Higgins Clark,1993.0,Dell,fiction
8,"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,1997.0,Signet Book,fiction
0,Airframe,Michael Crichton,1997.0,Ballantine Books,fiction
0,The Genesis Code,John Case,1998.0,Ballantine Books,fiction
0,The Color Purple,Alice Walker,1990.0,Pocket,fiction
0,Dreamcatcher,Stephen King,2003.0,Pocket,fiction
0,Skipping Christmas,JOHN GRISHAM,2001.0,Doubleday,fiction
0,The Brethren,John Grisham,2000.0,Island,fiction
0,Little Altars Everywhere: A Novel,Rebecca Wells,1996.0,Perennial,fiction
6,The Hundred Secret Senses,Amy Tan,1996.0,Ivy Books,fiction
10,Peace Like a River,Leif Enger,2002.0,Grove Press,fiction
10,Valhalla Rising (Dirk Pitt Adventures (Paperback)),Clive Cussler,2002.0,Berkley Publishing Group,fiction
10,The Stone Diaries,Carol Shields,1995.0,Penguin Books,fiction
7,The Andromeda Strain,MICHAEL CRICHTON,1992.0,Ballantine Books,fiction
0,The Bean Trees,Barbara Kingsolver,1998.0,HarperTorch,fiction
0,I Is for Innocent,Sue Grafton,1994.0,Fawcett Books,fiction
0,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001.0,Broadway Books,fiction
